127.0.0.1 - - [08/Aug/2024:14:13:05 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:13:05 +0900] "GET /HTML5/html/exam14-inline_block.html HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:13:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:14:27 +0900] "GET /HTML5/html/exam14-inline_block.html HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:14:27 +0900] "GET /HTML5/html/exam14-inline_block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:14:27 +0900] "GET /HTML5/html/exam14-inline_block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:14:27 +0900] "GET /HTML5/html/exam14-inline_block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:15:32 +0900] "GET /HTML5/html/exam14-inline_block.html HTTP/1.1" 200 1036
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:15:32 +0900] "GET /HTML5/html/exam14-inline_block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:15:32 +0900] "GET /HTML5/html/exam14-inline_block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:15:33 +0900] "GET /HTML5/html/exam14-inline_block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:15:33 +0900] "GET /HTML5/html/exam14-inline_block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:15:33 +0900] "GET /HTML5/html/exam14-inline_block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:15:38 +0900] "GET /HTML5/html/exam14-inline_block.html HTTP/1.1" 200 1103
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:15:38 +0900] "GET /HTML5/html/exam14-inline_block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:15:38 +0900] "GET /HTML5/html/exam14-inline_block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:15:38 +0900] "GET /HTML5/html/exam14-inline_block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:17:27 +0900] "GET /HTML5/html/exam14-inline_block.html HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:20:23 +0900] "GET /HTML5/html/exam14-inline_block.html HTTP/1.1" 200 1375
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:20:24 +0900] "GET /HTML5/html/exam14-inline_block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:20:24 +0900] "GET /HTML5/html/exam14-inline_block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:20:24 +0900] "GET /HTML5/html/exam14-inline_block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:20:25 +0900] "GET /HTML5/html/exam14-inline_block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:20:25 +0900] "GET /HTML5/html/exam14-inline_block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:20:25 +0900] "GET /HTML5/html/exam14-inline_block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:20:30 +0900] "GET /HTML5/html/exam15.html HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:22:45 +0900] "GET /HTML5/html/exam15.html HTTP/1.1" 200 1491
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:22:45 +0900] "GET /HTML5/html/exam15.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:22:45 +0900] "GET /HTML5/html/exam15.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:24:05 +0900] "GET /HTML5/html/exam15.html HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:24:05 +0900] "GET /HTML5/html/exam15.html HTTP/1.1" 304 -
